coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
ETHUSDT,2.0,1.2,2.0,1.1,5834.5,40.98,1.71,19.21,61,29.17
ETHUSDT,2.0,1.4,2.0,1.1,-4467.5,37.74,0.4,47.78,53,-22.34
ETHUSDT,2.0,1.6,2.0,1.1,-3538.48,38.78,0.47,43.04,49,-17.69
ETHUSDT,2.0,1.8,2.0,1.1,-3703.1,38.64,0.38,44.11,44,-18.52
ETHUSDT,2.0,2.0,2.0,1.1,-2852.41,39.02,0.48,34.85,41,-14.26
ETHUSDT,2.0,2.2,2.0,1.1,-2617.51,42.11,0.45,33.53,38,-13.09
ETHUSDT,2.5,0.6,2.0,1.1,1009.04,52.83,1.18,16.52,53,5.05
ETHUSDT,2.5,0.8,2.0,1.1,-95.36,45.1,0.98,19.06,51,-0.48
ETHUSDT,2.5,1.0,2.0,1.1,759.48,47.17,1.12,18.8,53,3.8
ETHUSDT,2.5,1.2,2.0,1.1,6069.6,41.67,1.93,24.34,48,30.35
ETHUSDT,2.5,1.4,2.0,1.1,-4253.23,35.0,0.28,50.88,40,-21.27
ETHUSDT,2.5,1.6,2.0,1.1,-4138.53,32.43,0.27,48.06,37,-20.69
ETHUSDT,2.5,1.8,2.0,1.1,-3255.86,36.36,0.31,38.65,33,-16.28
ETHUSDT,2.5,2.0,2.0,1.1,-1634.25,45.16,0.56,27.0,31,-8.17
ETHUSDT,3.0,0.6,2.0,1.1,1676.1,57.78,1.39,11.31,45,8.38
ETHUSDT,2.5,2.2,2.0,1.1,-2244.57,38.46,0.36,26.69,26,-11.22
ETHUSDT,3.0,0.8,2.0,1.1,704.66,51.16,1.14,14.98,43,3.52
ETHUSDT,3.0,1.0,2.0,1.1,990.02,47.73,1.18,16.91,44,4.95
ETHUSDT,3.0,1.2,2.0,1.1,5785.68,37.84,2.07,22.97,37,28.93
ETHUSDT,3.0,1.4,2.0,1.1,-3404.99,36.36,0.3,41.44,33,-17.02
ETHUSDT,3.0,1.6,2.0,1.1,-3576.71,30.0,0.26,42.45,30,-17.88
ETHUSDT,3.0,1.8,2.0,1.1,-2664.2,37.5,0.21,27.32,24,-13.32
ETHUSDT,3.0,2.0,2.0,1.1,-1311.14,45.45,0.51,18.08,22,-6.56
ETHUSDT,3.0,2.2,2.0,1.1,-1691.44,45.0,0.29,17.72,20,-8.46
ETHUSDT,3.5,0.6,2.0,1.1,1186.52,56.41,1.3,11.31,39,5.93
ETHUSDT,3.5,0.8,2.0,1.1,272.89,48.65,1.06,15.37,37,1.36
ETHUSDT,3.5,1.0,2.0,1.1,1209.83,48.57,1.28,15.58,35,6.05
ETHUSDT,3.5,1.2,2.0,1.1,5867.72,37.14,2.12,24.34,35,29.34
ETHUSDT,3.5,1.4,2.0,1.1,-2847.12,37.93,0.32,35.86,29,-14.24
ETHUSDT,3.5,1.6,2.0,1.1,-2305.49,40.91,0.23,23.61,22,-11.53
ETHUSDT,3.5,1.8,2.0,1.1,-1747.52,45.0,0.29,18.16,20,-8.74
ETHUSDT,3.5,2.0,2.0,1.1,-1798.24,42.11,0.26,18.74,19,-8.99
ETHUSDT,3.5,2.2,2.0,1.1,-980.54,50.0,0.35,9.81,14,-4.9
SOLUSDT,1.5,0.6,2.0,1.1,5895.0,60.0,1.95,11.79,70,29.47
SOLUSDT,1.5,0.8,2.0,1.1,4323.25,57.53,1.62,14.32,73,21.62
SOLUSDT,1.5,1.0,2.0,1.1,2898.63,55.71,1.42,15.14,70,14.49
SOLUSDT,1.5,1.2,2.0,1.1,5595.86,54.84,1.91,9.45,62,27.98
SOLUSDT,1.5,1.4,2.0,1.1,4076.42,50.0,1.63,13.76,60,20.38
SOLUSDT,1.5,1.6,2.0,1.1,2348.89,44.64,1.35,14.45,56,11.74
SOLUSDT,1.5,1.8,2.0,1.1,3156.67,50.94,1.57,8.31,53,15.78
SOLUSDT,1.5,2.0,2.0,1.1,2655.39,52.0,1.52,6.36,50,13.28
SOLUSDT,1.5,2.2,2.0,1.1,5122.37,53.49,2.21,6.39,43,25.61
SOLUSDT,2.0,0.6,2.0,1.1,5130.25,61.4,2.04,9.84,57,25.65
SOLUSDT,2.0,0.8,2.0,1.1,2492.8,54.24,1.4,17.3,59,12.46
SOLUSDT,2.0,1.0,2.0,1.1,750.01,50.91,1.12,15.67,55,3.75
SOLUSDT,2.0,1.2,2.0,1.1,4678.31,51.85,1.81,11.49,54,23.39
SOLUSDT,2.0,1.4,2.0,1.1,4101.85,48.89,1.81,12.54,45,20.51
SOLUSDT,2.0,1.6,2.0,1.1,3415.18,46.34,1.71,11.67,41,17.08
SOLUSDT,2.0,1.8,2.0,1.1,4524.25,59.46,2.4,4.86,37,22.62
SOLUSDT,2.0,2.0,2.0,1.1,5001.49,70.59,3.32,2.9,34,25.01
SOLUSDT,2.0,2.2,2.0,1.1,7017.46,66.67,4.28,3.97,30,35.09
SOLUSDT,2.5,0.6,2.0,1.1,3717.18,57.14,1.79,13.84,49,18.59
SOLUSDT,2.5,0.8,2.0,1.1,2858.44,56.0,1.56,12.62,50,14.29
SOLUSDT,2.5,1.0,2.0,1.1,1746.76,54.35,1.36,13.02,46,8.73
SOLUSDT,2.5,1.2,2.0,1.1,5926.11,56.1,2.45,8.92,41,29.63
SOLUSDT,2.5,1.4,2.0,1.1,4802.05,50.0,2.21,9.76,36,24.01
SOLUSDT,2.5,1.6,2.0,1.1,3979.38,50.0,2.14,7.48,32,19.9
SOLUSDT,2.5,1.8,2.0,1.1,4241.48,65.38,3.15,4.15,26,21.21
SOLUSDT,2.5,2.0,2.0,1.1,2427.97,63.16,2.59,3.51,19,12.14
SOLUSDT,2.5,2.2,2.0,1.1,5599.74,63.16,4.71,2.77,19,28.0
SOLUSDT,3.0,0.6,2.0,1.1,4603.04,61.9,2.27,8.33,42,23.02
SOLUSDT,3.0,0.8,2.0,1.1,3112.33,58.54,1.78,10.36,41,15.56
SOLUSDT,3.0,1.0,2.0,1.1,1440.61,51.35,1.35,12.56,37,7.2
SOLUSDT,3.0,1.2,2.0,1.1,5404.42,52.94,2.48,8.01,34,27.02
SOLUSDT,3.0,1.4,2.0,1.1,4928.28,55.56,2.82,4.79,27,24.64
SOLUSDT,3.0,1.6,2.0,1.1,3148.3,47.62,2.29,4.97,21,15.74
SOLUSDT,3.0,1.8,2.0,1.1,2637.73,57.89,2.5,4.37,19,13.19
SOLUSDT,3.0,2.0,2.0,1.1,2856.53,70.59,3.61,3.51,17,14.28
