coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
ETHUSDT,3.0,0.6,2.0,1.1,23217.16,63.64,2.58,9.89,176,116.09
ETHUSDT,3.0,0.5,2.0,2.0,23962.73,50.28,2.15,8.26,181,119.81
ETHUSDT,3.0,0.5,2.0,1.1,22890.88,65.95,2.58,6.96,185,114.45
ETHUSDT,3.0,0.6,2.0,2.0,26351.38,51.45,2.36,8.57,173,131.76
ETHUSDT,3.0,0.8,2.0,1.1,14575.17,57.69,1.95,14.9,156,72.88
ETHUSDT,3.0,0.7,2.0,2.0,18130.59,48.48,1.91,13.46,165,90.65
ETHUSDT,3.0,0.7,2.0,1.1,13621.32,61.08,1.9,15.26,167,68.11
ETHUSDT,3.0,0.8,2.0,2.0,16119.15,44.87,1.8,14.47,156,80.6
